Treatment,Actual,Forecast Mean,Forecast Median,Error,Abs Error,% Error
4c Piece Rate,2132,2056.5,2080.0,-75.5,75.5,-3.5
Very Low Pay,1883,1657.4,1632.0,-225.6,225.6,-12.0
1c Red Cross,1907,1893.6,1945.0,-13.4,13.4,-0.7
10c Red Cross,1918,1996.6,2035.5,78.6,78.6,4.1
1c 2 Weeks,2004,1932.7,1990.5,-71.3,71.3,-3.6
1c 4 Weeks,1970,1895.2,1960.0,-74.8,74.8,-3.8
Gain 40c,2136,1955.3,2002.0,-180.7,180.7,-8.5
Loss 40c,2155,2002.5,2009.0,-152.5,152.5,-7.1
Gain 80c,2188,2007.2,2010.0,-180.8,180.8,-8.3
Prob .01 $1,1896,1966.7,2029.5,70.7,70.7,3.7
Prob .5 2c,1977,1941.4,1992.5,-35.6,35.6,-1.8
Social Comp.,1848,1877.3,1900.0,29.3,29.3,1.6
Ranking,1761,1849.9,1818.5,88.9,88.9,5.0
Task Signif.,1740,1756.9,1690.0,16.9,16.9,1.0
Gift Exch.,1602,1709.5,1662.0,107.5,107.5,6.7
