treatment,N,Mean,Std Dev,Min,Median,Max,SE
1c Piece Rate,558,2029.44,648.89,45,2119.50,3950,27.47
10c Piece Rate,566,2174.62,577.75,1,2244.50,3684,24.28
No Payment,540,1520.68,725.65,2,1566.00,3254,31.23
4c Piece Rate,562,2131.86,626.23,133,2206.00,3809,26.42
Very Low Pay,538,1883.19,663.64,10,2015.50,3531,28.61
1c Red Cross,554,1906.99,632.07,5,2008.00,3192,26.85
10c Red Cross,549,1918.42,607.59,13,2007.00,3154,25.93
1c 2 Weeks,544,2004.21,638.69,1,2102.50,3387,27.38
1c 4 Weeks,550,1970.37,672.50,20,2054.50,3365,28.68
Gain 40c,545,2135.95,575.65,9,2201.00,3615,24.66
Loss 40c,532,2154.77,532.49,101,2224.50,3224,23.09
Gain 80c,532,2187.86,530.21,8,2266.00,3401,22.99
Prob .01 $1,555,1895.54,669.92,3,2003.00,3303,28.44
Prob .5 2c,568,1977.14,589.47,14,2007.50,3306,24.73
Social Comp.,526,1848.37,737.20,2,2015.50,3665,32.14
Ranking,543,1761.29,713.82,1,1781.00,3516,30.63
Task Signif.,554,1739.54,676.90,5,1825.00,3209,28.76
Gift Exch.,545,1601.90,694.92,1,1698.00,3175,29.77
