Treatment,Coefficient,Robust SE,t-stat,p-value
1c Piece Rate,508.7648,41.5899,12.2329,0.0000
10c Piece Rate,653.9387,39.5585,16.5309,0.0000
4c Piece Rate,611.1780,40.9016,14.9427,0.0000
Gift Exch.,81.2195,43.1413,1.8826,0.0597
Very Low Pay,362.5137,42.3521,8.5595,0.0000
1c Red Cross,386.3150,41.1855,9.3799,0.0000
10c Red Cross,397.7357,40.5897,9.7989,0.0000
1c 2 Weeks,483.5263,41.5325,11.6421,0.0000
1c 4 Weeks,449.6858,42.3956,10.6069,0.0000
Gain 40c,615.2727,39.7884,15.4636,0.0000
Loss 40c,634.0929,38.8337,16.3284,0.0000
Gain 80c,667.1775,38.7749,17.2064,0.0000
Prob .01 $1,374.8591,42.2345,8.8757,0.0000
Prob .5 2c,456.4647,39.8358,11.4586,0.0000
Social Comp.,327.6854,44.8131,7.3123,0.0000
Ranking,240.6132,43.7432,5.5006,0.0000
Task Signif.,218.8565,42.4522,5.1554,0.0000
